timestamp,timestamp_local,sn,rh,temp,lat,lon,device_state,pm1,pm25,pm10,co,no,no2,o3,co2
2023-10-21T23:59:30Z,2023-10-21T19:59:30Z,MOD-00353,37.5,26.5,39.9559,-75.18598,ACTIVE,1.041,1.051,1.051,437.483,4.193,7.492,22.188,
2023-10-21T23:58:30Z,2023-10-21T19:58:30Z,MOD-00353,37.5,26.5,39.9559,-75.18598,ACTIVE,0.723,0.78,0.835,437.894,4.191,7.608,21.65,
2023-10-21T23:57:30Z,2023-10-21T19:57:30Z,MOD-00353,37.6,26.6,39.9559,-75.18598,ACTIVE,0.825,0.887,0.887,431.363,4.181,8.629,21.905,
2023-10-21T23:56:30Z,2023-10-21T19:56:30Z,MOD-00353,37.5,26.6,39.9559,-75.18598,ACTIVE,1.046,1.049,1.049,434.718,4.181,7.546,21.67,
2023-10-21T23:55:30Z,2023-10-21T19:55:30Z,MOD-00353,37.6,26.6,39.9559,-75.18598,ACTIVE,1.077,1.089,1.089,435.878,4.179,8.745,22.443,
2023-10-21T23:54:30Z,2023-10-21T19:54:30Z,MOD-00353,37.6,26.6,39.9559,-75.18598,ACTIVE,1.126,1.135,1.135,434.647,4.177,7.764,21.905,
2023-10-21T23:53:30Z,2023-10-21T19:53:30Z,MOD-00353,37.6,26.6,39.9559,-75.18598,ACTIVE,0.879,0.922,0.922,438.341,4.181,8.745,22.174,
2023-10-21T23:52:30Z,2023-10-21T19:52:30Z,MOD-00353,37.6,26.5,39.9559,-75.18598,ACTIVE,0.97,0.993,0.993,433.307,4.188,7.368,22.154,
2023-10-21T23:51:30Z,2023-10-21T19:51:30Z,MOD-00353,37.6,26.5,39.9559,-75.18598,ACTIVE,0.777,0.791,0.791,436.181,4.191,7.368,22.154,
2023-10-21T23:50:30Z,2023-10-21T19:50:30Z,MOD-00353,37.6,26.5,39.9559,-75.18598,ACTIVE,0.877,0.886,0.886,432.076,4.188,7.912,22.154,
2023-10-21T23:49:30Z,2023-10-21T19:49:30Z,MOD-00353,37.6,26.5,39.9559,-75.18598,ACTIVE,1.095,1.098,1.098,436.181,4.189,7.489,21.885,
2023-10-21T23:48:30Z,2023-10-21T19:48:30Z,MOD-00353,37.6,26.5,39.9559,-75.18598,ACTIVE,0.906,0.906,0.906,435.36,4.191,7.854,21.885,
2023-10-21T23:47:30Z,2023-10-21T19:47:30Z,MOD-00353,37.6,26.5,39.9559,-75.18598,ACTIVE,0.802,0.82,0.82,436.591,4.191,7.368,21.616,
2023-10-21T23:46:30Z,2023-10-21T19:46:30Z,MOD-00353,37.6,26.5,39.9559,-75.18598,ACTIVE,0.83,0.842,0.842,433.307,4.191,7.599,22.154,
2023-10-21T23:45:30Z,2023-10-21T19:45:30Z,MOD-00353,37.6,26.5,39.9559,-75.18598,ACTIVE,0.892,0.921,0.921,429.613,4.189,7.489,21.885,
2023-10-21T23:44:30Z,2023-10-21T19:44:30Z,MOD-00353,37.7,26.5,39.9559,-75.18598,ACTIVE,0.926,0.935,0.935,436.931,4.184,7.5,21.851,
